# Constructed from biom file
#OTU ID	SRR29259944
fbc510e7577dbe507e3c563ce0104926	44.0
3cf21edbebb061e7f890dd6463a2c14f	19.0
4191a7640d04fc54f9be2ada0b0f1624	37.0
ae65202f0124efebf1316fae5a84cc67	20.0
2f3f1fbd3ed095d59188a5e89f31568a	17.0
da261d0831687e21c6d8fc3ae99f9639	61.0
cf6a295a94395381dce2b4b64f060714	61.0
7bcb5bfe3ee9c102cc29f49eb423b63d	46.0
016df5724c4d943b513f269bb90a97cd	73.0
6b2a4624b66cc798b2896489cc61cef2	76.0
9de013f613dcf8e584dd8f288f6195c7	5.0
45f8e621f854ee31bb2496dc03403a79	3.0
29bb0aab1ca3c5c8b190f28d0e80bafe	6.0
b940fb43dbece3ac1dab76749e51d847	2.0
79e8ac9585f03c826def4fd0a3aeebe7	19.0
42f409f7c43ca94cf7f6bad2b07256f4	9.0
04111e9dda01a2b10e636343bf602aad	6.0
d39a7ebf05f60937ce302373d9d12aa3	13.0
347e4f24a76ce33ebd42faf8d12a7cb0	4.0
9365b889662f351170aee2336f1c58e3	17.0
ee68d725b8b17bb0d0808a2986836da3	6.0
f520ce8bf73e11dd6b00799981082707	7.0
e3ce6cdea45619a794b522c82226cbba	15.0
56d6f20cf0615bad0b8c82817d1a7b2f	12.0
5048ca604747131aaf836a1b7fd3a79d	21.0
d65d345116999d03fd2cc669f606c159	16.0
ac4fb8939e9338a1ca670772db2c0e61	36.0
cfb2416187bdaea3c2c3b119f2d21318	18.0
cac5b8119d4b9493293d79bc21ac8883	40.0
067f60ad6a9a0098e1936795c9b2a3ca	6.0
0c146fbd1e84dd4511e385fd4e297015	7.0
0deedee99ee29c34580b653555b20382	19.0
f2b5c9f3fa709a2906d008fa0d3ee95d	13.0
6db8ed9a9e9e9c210ea44982bfdf8d06	18.0
1a0dfd6af0a1df824b8de3fa698c2899	72.0
2d5f65e4fdc8ae754626df5901692350	5.0
a42fe3daf2c535b67573b1f02c510633	2.0
63fd895ac585c6d9f362ed989335b851	12.0
c374578d4f29a8db4cd3cc5df5871061	7.0
bcf53f819e9998dae132620eea368b6e	14.0
06d4822066048b95fe536508f6d7ca95	4.0
1c279f5e82f2496902c1062a65dafda1	16.0
2db426a31f7aece8c774be199cfd8ae9	8.0
f038f4cbf1c6a44a3dedbceb22308fa7	12.0
3271d013569174c806ed0a5b51509ff2	5.0
453130650ed676a88c058f6b16983f01	15.0
7d8616ec0e3a15eca2d16c7884d59321	18.0
677090dcb9c1dd83663af9f14ad97c7d	64.0
450ae0a0258057fb6075babdb2687561	70.0
f7a7676c5bdef652eb9640403feabe26	23.0
eb12f5217ff74a4820b847a67bbe932e	2.0
824bdb5a5ec8592fcb511e8c2a6516cc	3.0
19662a51f727e0126b44030d9c46cd25	5.0
5f4db050ac4765f6ac65c9caf2482f87	9.0
f5350ead44dec19f4c065b84bab28291	25.0
72cdfbe580063ef18e239073ace9297a	15.0
943c64d5f331995353eb84e6b8d615e6	6.0
3743827cb3fb87c2ec0ba32dda0faf21	8.0
8f350b90469b78ebb1bc393ac70fdc6b	17.0
f9a8fe5efd85f013a1525a004735ae0e	7.0
3860d09fb6d7b533e11d32d212441453	6.0
796aef22b6a3edfbe48398e3d06991cf	134.0
46eb9ea1c96189496b1ad34504fe6f59	98.0
21d688254be0cf76e587e1c4c48e9b7e	2394.0
4f58285627d0de8ee34a93a3d1237031	14893.0
31ce1d09768bfa9c529f2c66025c58b6	7.0
c4bb86e920bfd5d8b6ec948c9961e24b	2173.0
05778e0474d5c538495f32e8e2d16102	43.0
354f3b6fdf656d3cf23babfd33bf61fb	114.0
5f344992090e13483e574878923beb20	80.0
37b6d825fee0a9075db3da39b4ae30c7	42.0
d2ba0a80202107836ce180fad3b0dfec	138.0
bfa33511037489b7672cdd797c9b569a	89.0
48e560b7ae5f43a6f89e81f2dd603967	41.0
ffdf24b1afde6085e48f2847a880daa9	162.0
e65117f74cbfc079df28f2f75e51ff29	191.0
8959ed26e0cea2f089f6e139d3aa71be	255.0
db93ce08ef8440b4130c9455cf580ce2	61.0
737ad0cbfaea199cf7b8d2e4942d0331	51.0
8a935072bd711d21366654368ba60d9b	6.0
fa8db406e31beda15e2a427dd4f1211f	10.0
2c47e7ef37134b0fb4af5827ea4b3062	16.0
069942cc7da614e83188dd3bef4a944c	9.0
51d70a4d57e8d23c3ac7b1e0b1acf902	14.0
645f0719ea2dc647b608e61f982795a3	2.0
93a13e837a9a133d88a9a5294003cfce	12.0
787e1d8bf6b8df0805a717069824d122	23.0
a2a8b7ebfc90362807feaf6e976f6823	39.0
3dc61db22dcf3823de8e5e4bb06edd1c	6.0
b66d6697555cf8b8004e6d7b82f5897c	28.0
bdbe40bd8b8f3248b02c90c70c45e091	9.0
75a58dac2a034dc1f0784a8c4c85712f	32.0
d560c21b64acdc0387a11fb251fa82bb	8.0
6165382f054a3468d4a3a85ee5da7e23	3.0
9eedb59372f24ac3bcde6d3cc1151b0c	4.0
704b0819615924add4acdcd2f52ca953	13.0
a5685ebb69449be146db2c4b998e0e22	18.0
30df117f912cf55ada112241427d8d34	14.0
694fad43f9754621f35778bf1dac28b8	28.0
11b2c0c9099db4262f06630f6c808abc	12.0
e8d679d428c91e7b8a9ae69da52c46a9	6.0
39a1a5a3bf1b65da877b394e27590f18	15.0
76318ab79d39a32ab1e8579aa0addfa4	2.0
94d1bfc2538749945a7e55c65edaac11	16.0
a6d61cd97ceb629ad803fc9174609649	34.0
4b45bce769d89e2b68e896de46e2b9b2	675.0
2c3699893ca441117f0541c4bea21e64	9.0
5ba35a46af97b51605bc7cc9a6a87d9f	15.0
e523cb52fdfb514d7044ab1edd139315	34.0
baa178a597d5d8651ee9fdebb7438c75	61.0
6405dd71a673f689daf80dfbce8e7a60	11.0
0d1825e72e8254c987bc1cc21ca4a678	26.0
b8aff242bd44d6486e3478e9a026e8ac	22.0
e428230d69b8d0ac62b11c0ff0e8af6a	11.0
ab6ab83eccd189161c6fbd52369c918e	6.0
4ddd227ccd7a4188dee46f1c5b714b91	5.0
153fac81f7621ea19f9fa8ffd761b739	14.0
5d37886e4cb71d30f75425111ca20925	20.0
cacce941ecc03cb7cd08e31f2b715138	36.0
d064acaa2c2c0f5723cc0d4893a41d56	19.0
f6d471b50c96fd0d8d5ab8e174e41b30	21.0
ae6dee7bf7a9bb0553180983adaebc34	60.0
b36d54a9bf34904a900ab35554dd9752	81.0
256d9464d5c926597b620d5ff9c65202	161.0
9cb8df10a00ee496f0223dac80a98d6f	43.0
033733641f167bb20d86bda711d1ef49	12.0
7e3a048b0ebb06035f6d9122486fd62d	33.0
73205ea200f6a87db591539b80d63ee2	163.0
e5f86cd12767c30d3b264d18921d1277	50.0
e3ca2eb37a8ecc6d1931cc40d6b8b075	13.0
59686767d347ca925175c380f4a31f53	5.0
d60bb277ec0f02188c2ecd4fbc1eff4a	110.0
efaca0a0eb7395a80a25f225a1e5cf30	152.0
776cc5b14bfa6de91f3b7755d424a65d	265.0
207abf53cf048176472e14b61cd48a89	2.0
d07b5fc12283c5e0e0a401fca74a1409	12.0
37e168d8681374f2537269ab2959803b	43.0
b637e0de0a6dd1fac1cb73c77dd3b9df	2.0
f9b44db5b77fcc4f1e64b1984fbf8735	7.0
0d1d57c8734da613decf4822569fc0eb	5.0
143bd479603c3f29f93bdf9a7970b27b	78.0
a949fac335d82b4c742b1a95f60dc573	20.0
ac36ed22ce128456c63d49811c0025ad	8.0
88c5893beabb3e41f4651f94a7389b9a	32.0
db9c67faf357af6006ad31040a671915	12.0
a618391935683cb853a30b90e80e1647	38.0
6b33ab345a402535fbe190f910d04adb	62.0
6999a90f05d03f1af7a84cf6cf41cca8	107.0
102afac913921c6240695af69e32ea92	18.0
c175d69a5cb32a80d185b03aef2657b0	49.0
cc8f594f5e2ba358099ab4a62245e034	2.0
5ef583d3895542e31c9cf6db470fc1c1	10.0
